Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.6191		0.4411		0.0000		0.4058		0.00050000
2		0.4026		0.3996		0.0000		0.4421		0.00049700
3		0.3435		0.4256		0.0000		0.4670		0.00049400
4		0.3266		0.3834		0.0000		0.4827		0.00049099
5		0.3038		0.3767		0.0000		0.4893		0.00048798
6		0.2974		0.3340		0.0000		0.5165		0.00048497
7		0.2910		0.3335		0.0000		0.5424		0.00048196
8		0.2749		0.3559		0.0000		0.5174		0.00047895
9		0.2712		0.3251		0.0000		0.5394		0.00047593
10		0.2622		0.3380		0.0000		0.5337		0.00047292
11		0.2591		0.3184		0.0000		0.5419		0.00046990
12		0.2621		0.4021		0.0000		0.4951		0.00046688
13		0.2492		0.3469		0.0000		0.5430		0.00046385
14		0.2395		0.3552		0.0000		0.4994		0.00046083
15		0.2395		0.2960		0.0000		0.5754		0.00045780
16		0.2305		0.3107		0.0000		0.5713		0.00045477
17		0.2306		0.3436		0.0000		0.5467		0.00045173
18		0.2280		0.3817		0.0000		0.5079		0.00044870
19		0.2180		0.3179		0.0000		0.5374		0.00044566
20		0.2111		0.3098		0.0000		0.5369		0.00044262
21		0.2372		0.2993		0.0000		0.5733		0.00043958
22		0.2256		0.3063		0.0000		0.5678		0.00043653
23		0.2062		0.3822		0.0000		0.5081		0.00043349
24		0.2081		0.5046		0.0000		0.4863		0.00043044
25		0.2033		0.3308		0.0000		0.5541		0.00042739
26		0.2111		0.3426		0.0000		0.5481		0.00042433
27		0.2114		0.3298		0.0000		0.5302		0.00042128
28		0.2079		0.3340		0.0000		0.5361		0.00041822
29		0.1982		0.2917		0.0000		0.5922		0.00041516
30		0.1931		0.4046		0.0000		0.5173		0.00041209
31		0.2035		0.2954		0.0000		0.5726		0.00040903
32		0.2045		0.3369		0.0000		0.5402		0.00040596
33		0.1925		0.2762		0.0000		0.5897		0.00040289
34		0.1893		0.2782		0.0000		0.6143		0.00039981
35		0.1915		0.3038		0.0000		0.5632		0.00039673
36		0.1900		0.3165		0.0000		0.5694		0.00039366
37		0.2160		0.3168		0.0000		0.5616		0.00039057
38		0.1811		0.2900		0.0000		0.5961		0.00038749
39		0.1771		0.2980		0.0000		0.5737		0.00038440
40		0.1876		0.3888		0.0000		0.5194		0.00038131
41		0.1902		0.3598		0.0000		0.5595		0.00037822
42		0.1973		0.3177		0.0000		0.5377		0.00037512
43		0.1890		0.3036		0.0000		0.5848		0.00037202
44		0.1714		0.2956		0.0000		0.5886		0.00036892
45		0.1728		0.2869		0.0000		0.5998		0.00036582
46		0.1808		0.2997		0.0000		0.5872		0.00036271
47		0.1919		0.2796		0.0000		0.5853		0.00035960
48		0.1692		0.4093		0.0000		0.5268		0.00035649
49		0.1749		0.2848		0.0000		0.5947		0.00035337
50		0.1630		0.3217		0.0000		0.5693		0.00035025
51		0.1781		0.2955		0.0000		0.5943		0.00034713
52		0.1848		0.3060		0.0000		0.5767		0.00034400
53		0.1794		0.2858		0.0000		0.5934		0.00034087
54		0.1653		0.2926		0.0000		0.6005		0.00033774
55		0.1777		0.2977		0.0000		0.5803		0.00033460
56		0.1686		0.2790		0.0000		0.6003		0.00033147
57		0.1609		0.2948		0.0000		0.5816		0.00032832
58		0.1649		0.3514		0.0000		0.5413		0.00032518
59		0.1761		1.5167		0.0000		0.4026		0.00032203
60		0.1602		0.2795		0.0000		0.6186		0.00031888
61		0.1590		0.2848		0.0000		0.5925		0.00031572
62		0.1725		0.2982		0.0000		0.5962		0.00031256
63		0.1657		0.2792		0.0000		0.6148		0.00030940
64		0.1481		0.2773		0.0000		0.6285		0.00030624
65		0.1594		0.2864		0.0000		0.6149		0.00030307
66		0.1566		0.3434		0.0000		0.5554		0.00029989
67		0.1736		0.3089		0.0000		0.5621		0.00029671
68		0.1531		0.2729		0.0000		0.6102		0.00029353
69		0.1467		0.2810		0.0000		0.6220		0.00029035
70		0.1628		0.3689		0.0000		0.5323		0.00028716
71		0.1619		0.2642		0.0000		0.6192		0.00028397
72		0.1509		0.2936		0.0000		0.5962		0.00028077
73		0.1429		0.3117		0.0000		0.5905		0.00027757
74		0.1650		0.3283		0.0000		0.5642		0.00027437
75		0.1566		0.3874		0.0000		0.5223		0.00027116
76		0.1580		0.2634		0.0000		0.6263		0.00026794
77		0.1395		0.2690		0.0000		0.6335		0.00026473
78		0.1462		0.3008		0.0000		0.6002		0.00026150
79		0.1675		0.2881		0.0000		0.6108		0.00025828
80		0.1412		0.2793		0.0000		0.6352		0.00025505
81		0.1390		0.3146		0.0000		0.6048		0.00025181
82		0.1392		0.2813		0.0000		0.6227		0.00024857
83		0.1611		0.3694		0.0000		0.5283		0.00024533
84		0.1562		0.2964		0.0000		0.6012		0.00024208
85		0.1387		0.2757		0.0000		0.6233		0.00023882
86		0.1316		0.2640		0.0000		0.6353		0.00023556
87		0.1361		0.2728		0.0000		0.6275		0.00023230
88		0.1451		0.3069		0.0000		0.5985		0.00022903
89		0.1399		0.3833		0.0000		0.5273		0.00022576
90		0.1513		0.2755		0.0000		0.6194		0.00022248
91		0.1386		0.2910		0.0000		0.5994		0.00021919
92		0.1501		0.2837		0.0000		0.6096		0.00021590
93		0.1324		0.2679		0.0000		0.6372		0.00021260
94		0.1269		0.3135		0.0000		0.5999		0.00020930
95		0.1346		0.3362		0.0000		0.5565		0.00020600
96		0.1538		0.2718		0.0000		0.6213		0.00020268
97		0.1286		0.2705		0.0000		0.6308		0.00019936
98		0.1272		0.2724		0.0000		0.6158		0.00019604
99		0.1246		0.2747		0.0000		0.6312		0.00019270
100		0.1303		0.2966		0.0000		0.5969		0.00018937
101		0.1335		0.2856		0.0000		0.6168		0.00018602
102		0.1229		0.2845		0.0000		0.6314		0.00018267
103		0.1235		0.2982		0.0000		0.6092		0.00017931
104		0.1319		0.3215		0.0000		0.6022		0.00017594
105		0.1361		0.2868		0.0000		0.6318		0.00017257
106		0.1377		0.2855		0.0000		0.6128		0.00016919
107		0.1231		0.2668		0.0000		0.6421		0.00016580
108		0.1188		0.2723		0.0000		0.6374		0.00016241
109		0.1161		0.2787		0.0000		0.6405		0.00015901
110		0.1158		0.3322		0.0000		0.5985		0.00015559
111		0.1344		0.3139		0.0000		0.5841		0.00015217
112		0.1253		0.2756		0.0000		0.6316		0.00014875
113		0.1165		0.2740		0.0000		0.6367		0.00014531
114		0.1141		0.2620		0.0000		0.6461		0.00014186
115		0.1165		0.2834		0.0000		0.6155		0.00013841
116		0.1147		0.2862		0.0000		0.6308		0.00013494
117		0.1113		0.2697		0.0000		0.6532		0.00013147
118		0.1114		0.2853		0.0000		0.6393		0.00012798
119		0.1154		0.2876		0.0000		0.6367		0.00012449
120		0.1200		0.2976		0.0000		0.6304		0.00012098
121		0.1146		0.2693		0.0000		0.6517		0.00011746
122		0.1073		0.2727		0.0000		0.6529		0.00011393
