Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9489		0.7356		0.0000		0.2691		0.00050000
2		0.6439		0.6426		0.0000		0.3089		0.00049700
3		0.5523		0.5523		0.0000		0.3392		0.00049400
4		0.5013		0.4965		0.0000		0.3750		0.00049099
5		0.4590		0.4614		0.0000		0.4015		0.00048798
6		0.4285		0.4544		0.0000		0.4008		0.00048497
7		0.4129		0.4740		0.0000		0.4239		0.00048196
8		0.3930		0.4518		0.0000		0.4165		0.00047895
9		0.3782		0.4650		0.0000		0.4121		0.00047593
10		0.3617		0.3874		0.0000		0.4467		0.00047292
11		0.3470		0.4141		0.0000		0.4476		0.00046990
12		0.3358		0.3680		0.0000		0.4851		0.00046688
13		0.3389		0.3675		0.0000		0.5073		0.00046385
14		0.3234		0.3904		0.0000		0.4682		0.00046083
15		0.3174		0.3782		0.0000		0.4693		0.00045780
16		0.3050		0.3954		0.0000		0.4655		0.00045477
17		0.3009		0.3451		0.0000		0.4988		0.00045173
18		0.2920		0.3561		0.0000		0.5027		0.00044870
19		0.2987		0.3533		0.0000		0.4923		0.00044566
20		0.2828		0.3101		0.0000		0.5365		0.00044262
21		0.2772		0.3374		0.0000		0.5104		0.00043958
22		0.2778		0.3354		0.0000		0.5163		0.00043653
23		0.2706		0.3190		0.0000		0.5256		0.00043349
24		0.2660		0.3085		0.0000		0.5474		0.00043044
25		0.2645		0.3025		0.0000		0.5476		0.00042739
26		0.2566		0.3069		0.0000		0.5432		0.00042433
27		0.2560		0.3074		0.0000		0.5496		0.00042128
28		0.2529		0.3429		0.0000		0.5298		0.00041822
29		0.2540		0.3227		0.0000		0.5463		0.00041516
30		0.2408		0.3042		0.0000		0.5202		0.00041209
31		0.2468		0.2975		0.0000		0.5531		0.00040903
32		0.2435		0.2747		0.0000		0.5831		0.00040596
33		0.2430		0.2867		0.0000		0.5753		0.00040289
34		0.2285		0.3325		0.0000		0.5421		0.00039981
35		0.2333		0.2862		0.0000		0.5779		0.00039673
36		0.2282		0.3103		0.0000		0.5674		0.00039366
37		0.2238		0.2764		0.0000		0.5855		0.00039057
