Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3035		0.9243		0.0000		0.1695		0.00050000
2		0.7464		0.6764		0.0000		0.2328		0.00049700
3		0.6472		0.6550		0.0000		0.2484		0.00049400
4		0.5940		0.6114		0.0000		0.2700		0.00049099
5		0.5578		0.5711		0.0000		0.2783		0.00048798
6		0.5213		0.5829		0.0000		0.2798		0.00048497
7		0.4997		0.5015		0.0000		0.3036		0.00048196
8		0.4783		0.5097		0.0000		0.3176		0.00047895
9		0.4551		0.4650		0.0000		0.3366		0.00047593
10		0.4413		0.4644		0.0000		0.3400		0.00047292
11		0.4265		0.4656		0.0000		0.3514		0.00046990
12		0.4180		0.4739		0.0000		0.3656		0.00046688
13		0.4020		0.4730		0.0000		0.3543		0.00046385
14		0.3968		0.4763		0.0000		0.3534		0.00046083
15		0.3862		0.4185		0.0000		0.4036		0.00045780
16		0.3825		0.4338		0.0000		0.3900		0.00045477
17		0.3713		0.4392		0.0000		0.4024		0.00045173
18		0.3655		0.3945		0.0000		0.4276		0.00044870
19		0.3716		0.4079		0.0000		0.4280		0.00044566
20		0.3522		0.4042		0.0000		0.4200		0.00044262
21		0.3523		0.4621		0.0000		0.4081		0.00043958
22		0.3452		0.4022		0.0000		0.4361		0.00043653
23		0.3386		0.3699		0.0000		0.4679		0.00043349
24		0.3349		0.3747		0.0000		0.4550		0.00043044
25		0.3309		0.3865		0.0000		0.4402		0.00042739
26		0.3263		0.3722		0.0000		0.4628		0.00042433
27		0.3273		0.4121		0.0000		0.4412		0.00042128
28		0.3147		0.3611		0.0000		0.4790		0.00041822
29		0.3188		0.3942		0.0000		0.4400		0.00041516
30		0.3099		0.3581		0.0000		0.4785		0.00041209
31		0.3049		0.3801		0.0000		0.4679		0.00040903
32		0.3079		0.3573		0.0000		0.4895		0.00040596
33		0.3091		0.3452		0.0000		0.4799		0.00040289
34		0.2959		0.3534		0.0000		0.4941		0.00039981
35		0.3030		0.3574		0.0000		0.4910		0.00039673
36		0.2922		0.3269		0.0000		0.5218		0.00039366
37		0.2872		0.3479		0.0000		0.5059		0.00039057
38		0.2900		0.3493		0.0000		0.4959		0.00038749
39		0.2848		0.3595		0.0000		0.5108		0.00038440
40		0.2859		0.3747		0.0000		0.4850		0.00038131
41		0.2794		0.3337		0.0000		0.5235		0.00037822
42		0.2766		0.3571		0.0000		0.5193		0.00037512
43		0.2767		0.3336		0.0000		0.5291		0.00037202
44		0.2694		0.3290		0.0000		0.5350		0.00036892
45		0.2685		0.3482		0.0000		0.5251		0.00036582
46		0.2682		0.3406		0.0000		0.5337		0.00036271
47		0.2730		0.3643		0.0000		0.5127		0.00035960
