Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9047		0.7654		0.0000		0.2416		0.00050000
2		0.6370		0.6538		0.0000		0.2929		0.00049700
3		0.5446		0.5538		0.0000		0.3365		0.00049400
4		0.4925		0.5061		0.0000		0.3694		0.00049099
5		0.4594		0.4805		0.0000		0.3747		0.00048798
6		0.4387		0.4672		0.0000		0.3751		0.00048497
7		0.4187		0.4361		0.0000		0.4075		0.00048196
8		0.4021		0.4282		0.0000		0.4218		0.00047895
9		0.3919		0.4338		0.0000		0.4192		0.00047593
10		0.3796		0.4091		0.0000		0.4260		0.00047292
11		0.3698		0.3922		0.0000		0.4459		0.00046990
12		0.3607		0.3893		0.0000		0.4583		0.00046688
13		0.3515		0.3884		0.0000		0.4612		0.00046385
14		0.3464		0.3807		0.0000		0.4515		0.00046083
15		0.3418		0.4073		0.0000		0.4603		0.00045780
16		0.3344		0.3690		0.0000		0.4777		0.00045477
17		0.3251		0.4156		0.0000		0.4663		0.00045173
18		0.3246		0.3748		0.0000		0.4823		0.00044870
19		0.3194		0.3667		0.0000		0.5024		0.00044566
20		0.3138		0.3742		0.0000		0.4856		0.00044262
21		0.3107		0.3789		0.0000		0.5095		0.00043958
22		0.3049		0.3538		0.0000		0.5164		0.00043653
23		0.3004		0.3679		0.0000		0.5017		0.00043349
24		0.2973		0.3639		0.0000		0.5009		0.00043044
25		0.2972		0.3543		0.0000		0.5247		0.00042739
26		0.2895		0.3577		0.0000		0.5285		0.00042433
27		0.2883		0.3400		0.0000		0.5343		0.00042128
28		0.2858		0.3364		0.0000		0.5583		0.00041822
29		0.2788		0.3697		0.0000		0.4844		0.00041516
30		0.2813		0.3539		0.0000		0.5089		0.00041209
31		0.2748		0.3534		0.0000		0.5577		0.00040903
32		0.2762		0.3225		0.0000		0.5668		0.00040596
33		0.2675		0.3159		0.0000		0.5728		0.00040289
34		0.2689		0.3230		0.0000		0.5671		0.00039981
35		0.2711		0.3237		0.0000		0.5674		0.00039673
36		0.2677		0.3454		0.0000		0.5232		0.00039366
37		0.2598		0.3291		0.0000		0.5555		0.00039057
38		0.2647		0.3199		0.0000		0.5422		0.00038749
39		0.2582		0.3348		0.0000		0.5325		0.00038440
40		0.2572		0.3415		0.0000		0.5528		0.00038131
41		0.2534		0.3216		0.0000		0.5843		0.00037822
42		0.2567		0.3098		0.0000		0.5940		0.00037512
43		0.2523		0.3492		0.0000		0.5398		0.00037202
44		0.2478		0.3349		0.0000		0.5881		0.00036892
45		0.2448		0.3376		0.0000		0.5762		0.00036582
46		0.2516		0.3151		0.0000		0.5734		0.00036271
47		0.2453		0.3161		0.0000		0.5957		0.00035960
48		0.2397		0.3474		0.0000		0.5918		0.00035649
49		0.2420		0.3132		0.0000		0.5761		0.00035337
50		0.2367		0.3149		0.0000		0.5942		0.00035025
51		0.2380		0.3295		0.0000		0.5846		0.00034713
52		0.2348		0.3138		0.0000		0.6118		0.00034400
53		0.2318		0.3295		0.0000		0.5824		0.00034087
54		0.2364		0.3187		0.0000		0.6040		0.00033774
