Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.7760		1.3586		0.0000		0.1513		0.00050000
2		1.1566		1.0212		0.0000		0.2216		0.00049700
3		0.9523		0.9481		0.0000		0.2236		0.00049400
4		0.8575		0.8626		0.0000		0.2478		0.00049099
5		0.7868		0.8134		0.0000		0.2638		0.00048798
6		0.7479		0.8392		0.0000		0.2583		0.00048497
7		0.7015		0.7223		0.0000		0.2936		0.00048196
8		0.6618		0.6771		0.0000		0.3060		0.00047895
9		0.6346		0.6406		0.0000		0.3195		0.00047593
10		0.6024		0.6240		0.0000		0.3541		0.00047292
11		0.5803		0.6184		0.0000		0.3619		0.00046990
12		0.5555		0.6030		0.0000		0.3737		0.00046688
13		0.5436		0.5647		0.0000		0.3931		0.00046385
14		0.5154		0.5901		0.0000		0.3943		0.00046083
15		0.5057		0.5439		0.0000		0.4181		0.00045780
16		0.4939		0.5254		0.0000		0.4352		0.00045477
17		0.4781		0.5478		0.0000		0.4259		0.00045173
18		0.4723		0.5157		0.0000		0.4418		0.00044870
19		0.4591		0.4997		0.0000		0.4541		0.00044566
20		0.4512		0.4800		0.0000		0.4597		0.00044262
21		0.4413		0.4762		0.0000		0.4648		0.00043958
22		0.4338		0.4622		0.0000		0.4730		0.00043653
23		0.4284		0.4923		0.0000		0.4671		0.00043349
24		0.4214		0.4667		0.0000		0.4787		0.00043044
25		0.4189		0.4924		0.0000		0.4651		0.00042739
26		0.4106		0.4401		0.0000		0.4948		0.00042433
27		0.4022		0.4537		0.0000		0.4820		0.00042128
28		0.4028		0.4863		0.0000		0.4794		0.00041822
29		0.3842		0.4306		0.0000		0.5103		0.00041516
30		0.3883		0.4350		0.0000		0.5015		0.00041209
31		0.3851		0.4314		0.0000		0.4980		0.00040903
32		0.3789		0.4456		0.0000		0.4924		0.00040596
33		0.3690		0.4257		0.0000		0.5175		0.00040289
34		0.3842		0.4522		0.0000		0.4942		0.00039981
35		0.3688		0.4396		0.0000		0.5055		0.00039673
36		0.3698		0.4205		0.0000		0.5073		0.00039366
37		0.3621		0.4054		0.0000		0.5367		0.00039057
38		0.3480		0.4200		0.0000		0.5148		0.00038749
39		0.3612		0.5463		0.0000		0.4681		0.00038440
40		0.3494		0.4108		0.0000		0.5283		0.00038131
41		0.3516		0.4140		0.0000		0.5228		0.00037822
42		0.3424		0.4376		0.0000		0.5126		0.00037512
43		0.3410		0.4244		0.0000		0.5267		0.00037202
44		0.3436		0.4070		0.0000		0.5330		0.00036892
45		0.3291		0.3957		0.0000		0.5423		0.00036582
46		0.3319		0.4318		0.0000		0.5260		0.00036271
47		0.3315		0.4057		0.0000		0.5367		0.00035960
48		0.3257		0.4097		0.0000		0.5406		0.00035649
49		0.3266		0.4224		0.0000		0.5334		0.00035337
50		0.3239		0.4160		0.0000		0.5462		0.00035025
51		0.3257		0.3931		0.0000		0.5646		0.00034713
52		0.3121		0.3940		0.0000		0.5599		0.00034400
53		0.3089		0.3982		0.0000		0.5603		0.00034087
54		0.3181		0.3833		0.0000		0.5708		0.00033774
55		0.3082		0.3963		0.0000		0.5787		0.00033460
56		0.3065		0.3968		0.0000		0.5652		0.00033147
57		0.3029		0.3939		0.0000		0.5501		0.00032832
58		0.3038		0.3833		0.0000		0.5785		0.00032518
59		0.3035		0.4011		0.0000		0.5699		0.00032203
60		0.3030		0.3815		0.0000		0.5866		0.00031888
61		0.2961		0.3929		0.0000		0.5810		0.00031572
62		0.2886		0.3752		0.0000		0.5834		0.00031256
63		0.3068		0.4014		0.0000		0.5716		0.00030940
64		0.2929		0.3738		0.0000		0.5995		0.00030624
65		0.2851		0.3786		0.0000		0.5832		0.00030307
66		0.2869		0.3999		0.0000		0.5689		0.00029989
67		0.2912		0.3622		0.0000		0.6124		0.00029671
68		0.2787		0.3883		0.0000		0.5732		0.00029353
69		0.2825		0.3815		0.0000		0.5814		0.00029035
70		0.2806		0.3703		0.0000		0.6005		0.00028716
71		0.2746		0.3753		0.0000		0.5973		0.00028397
72		0.2795		0.4359		0.0000		0.5422		0.00028077
73		0.2847		0.3765		0.0000		0.5743		0.00027757
74		0.2669		0.3779		0.0000		0.6069		0.00027437
75		0.2713		0.3921		0.0000		0.5866		0.00027116
76		0.2672		0.3871		0.0000		0.6021		0.00026794
77		0.2667		0.3750		0.0000		0.6162		0.00026473
78		0.2735		0.3845		0.0000		0.5656		0.00026150
79		0.2688		0.3663		0.0000		0.6108		0.00025828
80		0.2631		0.3683		0.0000		0.6043		0.00025505
81		0.2594		0.3802		0.0000		0.5981		0.00025181
82		0.2607		0.3887		0.0000		0.5926		0.00024857
83		0.2661		0.3766		0.0000		0.6101		0.00024533
84		0.2548		0.3845		0.0000		0.6078		0.00024208
85		0.2592		0.3653		0.0000		0.6193		0.00023882
86		0.2524		0.3869		0.0000		0.6039		0.00023556
87		0.2512		0.3887		0.0000		0.6170		0.00023230
88		0.2528		0.3787		0.0000		0.5991		0.00022903
89		0.2550		0.3573		0.0000		0.6155		0.00022576
90		0.2479		0.3791		0.0000		0.6168		0.00022248
91		0.2462		0.3799		0.0000		0.6040		0.00021919
92		0.2446		0.3598		0.0000		0.6245		0.00021590
93		0.2454		0.3473		0.0000		0.6323		0.00021260
94		0.2432		0.3807		0.0000		0.6031		0.00020930
95		0.2448		0.3691		0.0000		0.6247		0.00020600
96		0.2366		0.3734		0.0000		0.6125		0.00020268
97		0.2406		0.3922		0.0000		0.5838		0.00019936
98		0.2417		0.4076		0.0000		0.5981		0.00019604
99		0.2403		0.3657		0.0000		0.6445		0.00019270
100		0.2331		0.3717		0.0000		0.6215		0.00018937
101		0.2368		0.3886		0.0000		0.5857		0.00018602
102		0.2333		0.3658		0.0000		0.6207		0.00018267
103		0.2272		0.3757		0.0000		0.6086		0.00017931
104		0.2232		0.3823		0.0000		0.6256		0.00017594
105		0.2292		0.3741		0.0000		0.6273		0.00017257
106		0.2243		0.3726		0.0000		0.6277		0.00016919
107		0.2273		0.3678		0.0000		0.6237		0.00016580
108		0.2266		0.3675		0.0000		0.6347		0.00016241
109		0.2182		0.3745		0.0000		0.6308		0.00015901
110		0.2189		0.3700		0.0000		0.6298		0.00015559
111		0.2154		0.3814		0.0000		0.6294		0.00015217
112		0.2186		0.3765		0.0000		0.6327		0.00014875
113		0.2223		0.3706		0.0000		0.6208		0.00014531
