Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.1058		1.0742		0.0000		0.2169		0.00050000
2		0.7821		0.7826		0.0000		0.3034		0.00049700
3		0.6820		0.6945		0.0000		0.3311		0.00049400
4		0.6192		0.6069		0.0000		0.3766		0.00049099
5		0.5815		0.6077		0.0000		0.3738		0.00048798
6		0.5490		0.5728		0.0000		0.4069		0.00048497
7		0.5274		0.5756		0.0000		0.3960		0.00048196
8		0.5070		0.5705		0.0000		0.4284		0.00047895
9		0.4880		0.5026		0.0000		0.4553		0.00047593
10		0.4753		0.4959		0.0000		0.4533		0.00047292
11		0.4601		0.5106		0.0000		0.4447		0.00046990
12		0.4472		0.5275		0.0000		0.4565		0.00046688
13		0.4440		0.4932		0.0000		0.4714		0.00046385
14		0.4265		0.4708		0.0000		0.4752		0.00046083
15		0.4205		0.4633		0.0000		0.4823		0.00045780
16		0.4124		0.4593		0.0000		0.4808		0.00045477
17		0.4036		0.4785		0.0000		0.4930		0.00045173
18		0.3977		0.4717		0.0000		0.4791		0.00044870
19		0.3968		0.4208		0.0000		0.5112		0.00044566
20		0.4008		0.4326		0.0000		0.5262		0.00044262
21		0.3800		0.4455		0.0000		0.5155		0.00043958
22		0.3768		0.4139		0.0000		0.5213		0.00043653
23		0.3707		0.4703		0.0000		0.5040		0.00043349
24		0.3696		0.4251		0.0000		0.5226		0.00043044
25		0.3732		0.4155		0.0000		0.5441		0.00042739
26		0.3593		0.3942		0.0000		0.5457		0.00042433
27		0.3547		0.4777		0.0000		0.5054		0.00042128
28		0.3549		0.4455		0.0000		0.5122		0.00041822
29		0.3486		0.4157		0.0000		0.5464		0.00041516
30		0.3430		0.4256		0.0000		0.5503		0.00041209
31		0.3409		0.4171		0.0000		0.5412		0.00040903
32		0.3456		0.4042		0.0000		0.5492		0.00040596
33		0.3422		0.3817		0.0000		0.5607		0.00040289
34		0.3277		0.3726		0.0000		0.5801		0.00039981
35		0.3328		0.3954		0.0000		0.5596		0.00039673
36		0.3269		0.4208		0.0000		0.5468		0.00039366
37		0.3264		0.3956		0.0000		0.5821		0.00039057
38		0.3148		0.3841		0.0000		0.5683		0.00038749
39		0.3177		0.3845		0.0000		0.5827		0.00038440
40		0.3146		0.4064		0.0000		0.5409		0.00038131
41		0.3125		0.3837		0.0000		0.5521		0.00037822
42		0.3173		0.3968		0.0000		0.5590		0.00037512
43		0.3088		0.3776		0.0000		0.6001		0.00037202
44		0.3099		0.3966		0.0000		0.5779		0.00036892
45		0.3042		0.3791		0.0000		0.5868		0.00036582
46		0.2963		0.3789		0.0000		0.5733		0.00036271
47		0.2958		0.3606		0.0000		0.6075		0.00035960
48		0.3093		0.3734		0.0000		0.5989		0.00035649
49		0.2932		0.3801		0.0000		0.5958		0.00035337
50		0.2906		0.3872		0.0000		0.5644		0.00035025
51		0.2886		0.3609		0.0000		0.6187		0.00034713
52		0.2863		0.3699		0.0000		0.5985		0.00034400
53		0.2903		0.4099		0.0000		0.5499		0.00034087
54		0.2846		0.4144		0.0000		0.5913		0.00033774
55		0.2866		0.3767		0.0000		0.5965		0.00033460
56		0.2816		0.4009		0.0000		0.5778		0.00033147
57		0.2803		0.3602		0.0000		0.6144		0.00032832
58		0.2739		0.4220		0.0000		0.5589		0.00032518
59		0.2778		0.3583		0.0000		0.6065		0.00032203
60		0.2774		0.3759		0.0000		0.5912		0.00031888
61		0.2706		0.3963		0.0000		0.5764		0.00031572
62		0.2805		0.3921		0.0000		0.5762		0.00031256
63		0.2657		0.3784		0.0000		0.6043		0.00030940
64		0.2585		0.3805		0.0000		0.6152		0.00030624
65		0.2839		0.3473		0.0000		0.6408		0.00030307
66		0.2578		0.3596		0.0000		0.6221		0.00029989
67		0.2671		0.3846		0.0000		0.5993		0.00029671
68		0.2597		0.4325		0.0000		0.5911		0.00029353
69		0.2670		0.3625		0.0000		0.6070		0.00029035
70		0.2592		0.3759		0.0000		0.6181		0.00028716
71		0.2562		0.4630		0.0000		0.5217		0.00028397
72		0.2581		0.3731		0.0000		0.6208		0.00028077
73		0.2486		0.4277		0.0000		0.5834		0.00027757
74		0.2637		0.3828		0.0000		0.5945		0.00027437
75		0.2545		0.3501		0.0000		0.6180		0.00027116
76		0.2412		0.3670		0.0000		0.6180		0.00026794
77		0.2559		0.3832		0.0000		0.5953		0.00026473
78		0.2424		0.3538		0.0000		0.6355		0.00026150
79		0.2452		0.3514		0.0000		0.6346		0.00025828
80		0.2382		0.4036		0.0000		0.5943		0.00025505
81		0.2507		0.3590		0.0000		0.6340		0.00025181
82		0.2402		0.3559		0.0000		0.6176		0.00024857
83		0.2454		0.3563		0.0000		0.6323		0.00024533
84		0.2407		0.3574		0.0000		0.6403		0.00024208
85		0.2373		0.3578		0.0000		0.6438		0.00023882
86		0.2242		0.3576		0.0000		0.6279		0.00023556
87		0.2369		0.3366		0.0000		0.6521		0.00023230
88		0.2329		0.3683		0.0000		0.6394		0.00022903
89		0.2377		0.3671		0.0000		0.6148		0.00022576
90		0.2285		0.3551		0.0000		0.6472		0.00022248
91		0.2324		0.3515		0.0000		0.6393		0.00021919
92		0.2287		0.3497		0.0000		0.6384		0.00021590
93		0.2216		0.3807		0.0000		0.6207		0.00021260
94		0.2239		0.3721		0.0000		0.5994		0.00020930
95		0.2193		0.3542		0.0000		0.6449		0.00020600
96		0.2178		0.3379		0.0000		0.6725		0.00020268
97		0.2271		0.3483		0.0000		0.6464		0.00019936
98		0.2267		0.3487		0.0000		0.6435		0.00019604
99		0.2183		0.3622		0.0000		0.6147		0.00019270
100		0.2129		0.3489		0.0000		0.6501		0.00018937
101		0.2247		0.3362		0.0000		0.6388		0.00018602
102		0.2131		0.3355		0.0000		0.6591		0.00018267
103		0.2143		0.3377		0.0000		0.6479		0.00017931
104		0.2162		0.3562		0.0000		0.6363		0.00017594
105		0.2060		0.3359		0.0000		0.6539		0.00017257
106		0.2134		0.3476		0.0000		0.6585		0.00016919
107		0.2038		0.3507		0.0000		0.6521		0.00016580
108		0.2071		0.3435		0.0000		0.6474		0.00016241
109		0.2091		0.3511		0.0000		0.6477		0.00015901
110		0.2065		0.3512		0.0000		0.6341		0.00015559
111		0.1993		0.3392		0.0000		0.6512		0.00015217
112		0.1979		0.3395		0.0000		0.6475		0.00014875
113		0.2012		0.3572		0.0000		0.6437		0.00014531
114		0.2011		0.3449		0.0000		0.6380		0.00014186
115		0.2050		0.3634		0.0000		0.6597		0.00013841
116		0.2012		0.3474		0.0000		0.6538		0.00013494
117		0.1931		0.3444		0.0000		0.6564		0.00013147
118		0.2015		0.3447		0.0000		0.6597		0.00012798
119		0.1981		0.3661		0.0000		0.6397		0.00012449
120		0.1928		0.3469		0.0000		0.6468		0.00012098
121		0.1904		0.3455		0.0000		0.6592		0.00011746
122		0.1887		0.3317		0.0000		0.6488		0.00011393
123		0.1881		0.3528		0.0000		0.6437		0.00011039
124		0.1858		0.3478		0.0000		0.6615		0.00010684
125		0.1841		0.3359		0.0000		0.6662		0.00010327
126		0.1839		0.3462		0.0000		0.6548		0.00009969
127		0.1841		0.3305		0.0000		0.6720		0.00009609
128		0.1830		0.3478		0.0000		0.6509		0.00009248
129		0.1832		0.3490		0.0000		0.6470		0.00008885
130		0.1873		0.3422		0.0000		0.6594		0.00008521
131		0.1782		0.3330		0.0000		0.6874		0.00008155
132		0.1758		0.3381		0.0000		0.6763		0.00007787
133		0.1764		0.3457		0.0000		0.6610		0.00007417
134		0.1757		0.3398		0.0000		0.6659		0.00007045
135		0.1796		0.3464		0.0000		0.6851		0.00006671
136		0.1728		0.3568		0.0000		0.6631		0.00006295
137		0.1727		0.3470		0.0000		0.6807		0.00005916
138		0.1702		0.3468		0.0000		0.6832		0.00005534
139		0.1692		0.3496		0.0000		0.6710		0.00005149
140		0.1691		0.3351		0.0000		0.6720		0.00004761
141		0.1678		0.3493		0.0000		0.6710		0.00004370
142		0.1667		0.3373		0.0000		0.6766		0.00003975
143		0.1661		0.3334		0.0000		0.6937		0.00003575
144		0.1671		0.3379		0.0000		0.6802		0.00003170
145		0.1642		0.3388		0.0000		0.6691		0.00002759
146		0.1641		0.3464		0.0000		0.6710		0.00002342
147		0.1632		0.3375		0.0000		0.6774		0.00001916
148		0.1624		0.3339		0.0000		0.6779		0.00001479
149		0.1614		0.3334		0.0000		0.6848		0.00001027
150		0.1610		0.3352		0.0000		0.6824		0.00000550
