Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.6861		1.2283		0.0000		0.1331		0.00050000
2		0.9782		0.9113		0.0000		0.2141		0.00049700
3		0.8111		0.7816		0.0000		0.2404		0.00049400
4		0.7314		0.7205		0.0000		0.2446		0.00049099
5		0.6834		0.6948		0.0000		0.2582		0.00048798
6		0.6524		0.6936		0.0000		0.2516		0.00048497
7		0.6214		0.6462		0.0000		0.2662		0.00048196
8		0.5930		0.5912		0.0000		0.2954		0.00047895
9		0.5739		0.5989		0.0000		0.3121		0.00047593
10		0.5496		0.6468		0.0000		0.3077		0.00047292
11		0.5315		0.5497		0.0000		0.3389		0.00046990
12		0.5194		0.5376		0.0000		0.3492		0.00046688
13		0.5118		0.5537		0.0000		0.3477		0.00046385
14		0.4937		0.5454		0.0000		0.3556		0.00046083
15		0.4840		0.5152		0.0000		0.3662		0.00045780
16		0.4764		0.5127		0.0000		0.3739		0.00045477
17		0.4647		0.4927		0.0000		0.3895		0.00045173
18		0.4576		0.5000		0.0000		0.3833		0.00044870
19		0.4492		0.5008		0.0000		0.3880		0.00044566
20		0.4387		0.4916		0.0000		0.3927		0.00044262
21		0.4341		0.4969		0.0000		0.3958		0.00043958
22		0.4336		0.4897		0.0000		0.4111		0.00043653
23		0.4266		0.4532		0.0000		0.4206		0.00043349
24		0.4233		0.4660		0.0000		0.4030		0.00043044
25		0.4151		0.4611		0.0000		0.4189		0.00042739
26		0.4112		0.5688		0.0000		0.3747		0.00042433
27		0.4122		0.4568		0.0000		0.4274		0.00042128
28		0.3963		0.4587		0.0000		0.4347		0.00041822
29		0.3941		0.4757		0.0000		0.4323		0.00041516
30		0.3903		0.4685		0.0000		0.4333		0.00041209
31		0.3845		0.4827		0.0000		0.4347		0.00040903
32		0.3840		0.4686		0.0000		0.4342		0.00040596
33		0.3812		0.4591		0.0000		0.4408		0.00040289
34		0.3775		0.4484		0.0000		0.4460		0.00039981
35		0.3734		0.4508		0.0000		0.4472		0.00039673
36		0.3697		0.4678		0.0000		0.4290		0.00039366
37		0.3684		0.4523		0.0000		0.4632		0.00039057
