Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.0705		0.8413		0.0000		0.2434		0.00050000
2		0.7915		0.8151		0.0000		0.2553		0.00049700
3		0.6880		0.6970		0.0000		0.2981		0.00049400
4		0.6328		0.6618		0.0000		0.3268		0.00049099
5		0.5944		0.6119		0.0000		0.3445		0.00048798
6		0.5718		0.5807		0.0000		0.3663		0.00048497
7		0.5418		0.5558		0.0000		0.3869		0.00048196
8		0.5263		0.5410		0.0000		0.3956		0.00047895
9		0.5091		0.5864		0.0000		0.3697		0.00047593
10		0.5027		0.5524		0.0000		0.4060		0.00047292
11		0.4876		0.5201		0.0000		0.4116		0.00046990
12		0.4751		0.5072		0.0000		0.4198		0.00046688
13		0.4639		0.5171		0.0000		0.4314		0.00046385
14		0.4547		0.4735		0.0000		0.4456		0.00046083
15		0.4526		0.4807		0.0000		0.4548		0.00045780
16		0.4415		0.4955		0.0000		0.4577		0.00045477
17		0.4344		0.4488		0.0000		0.4770		0.00045173
18		0.4272		0.4480		0.0000		0.4695		0.00044870
19		0.4244		0.4579		0.0000		0.4822		0.00044566
20		0.4122		0.4628		0.0000		0.4907		0.00044262
21		0.4089		0.4292		0.0000		0.5036		0.00043958
22		0.4105		0.4504		0.0000		0.4742		0.00043653
23		0.3957		0.4657		0.0000		0.4903		0.00043349
24		0.3967		0.4757		0.0000		0.4808		0.00043044
25		0.3928		0.4203		0.0000		0.5008		0.00042739
26		0.3855		0.4745		0.0000		0.4907		0.00042433
27		0.3828		0.4624		0.0000		0.4809		0.00042128
28		0.3806		0.4344		0.0000		0.4950		0.00041822
29		0.3707		0.4469		0.0000		0.5079		0.00041516
30		0.3669		0.4229		0.0000		0.5161		0.00041209
31		0.3669		0.4459		0.0000		0.5210		0.00040903
32		0.3621		0.4031		0.0000		0.5440		0.00040596
33		0.3739		0.4323		0.0000		0.5160		0.00040289
34		0.3598		0.4548		0.0000		0.5099		0.00039981
35		0.3522		0.4290		0.0000		0.5164		0.00039673
36		0.3575		0.4283		0.0000		0.5331		0.00039366
37		0.3469		0.4514		0.0000		0.5093		0.00039057
38		0.3473		0.4158		0.0000		0.5388		0.00038749
39		0.3370		0.4301		0.0000		0.5480		0.00038440
40		0.3397		0.4084		0.0000		0.5450		0.00038131
41		0.3324		0.4377		0.0000		0.5266		0.00037822
42		0.3357		0.3992		0.0000		0.5491		0.00037512
43		0.3340		0.4011		0.0000		0.5524		0.00037202
44		0.3320		0.4566		0.0000		0.5251		0.00036892
45		0.3266		0.3910		0.0000		0.5563		0.00036582
46		0.3263		0.4374		0.0000		0.5203		0.00036271
47		0.3226		0.4668		0.0000		0.5298		0.00035960
48		0.3240		0.4016		0.0000		0.5588		0.00035649
49		0.3134		0.4350		0.0000		0.5368		0.00035337
50		0.3186		0.4045		0.0000		0.5619		0.00035025
51		0.3111		0.4029		0.0000		0.5590		0.00034713
52		0.3182		0.4193		0.0000		0.5614		0.00034400
53		0.3063		0.4148		0.0000		0.5662		0.00034087
54		0.3104		0.3940		0.0000		0.5613		0.00033774
55		0.3024		0.4139		0.0000		0.5725		0.00033460
56		0.3034		0.4842		0.0000		0.5473		0.00033147
57		0.3005		0.4083		0.0000		0.5557		0.00032832
58		0.2961		0.3930		0.0000		0.5602		0.00032518
