Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.8076		1.2198		0.0000		0.1577		0.00050000
2		1.0110		0.9666		0.0000		0.2273		0.00049700
3		0.8260		0.8040		0.0000		0.2650		0.00049400
4		0.7290		0.7102		0.0000		0.2803		0.00049099
5		0.6705		0.6650		0.0000		0.2865		0.00048798
6		0.6285		0.6234		0.0000		0.3151		0.00048497
7		0.5797		0.5996		0.0000		0.3323		0.00048196
8		0.5541		0.6052		0.0000		0.3371		0.00047895
9		0.5296		0.5611		0.0000		0.3767		0.00047593
10		0.5125		0.5369		0.0000		0.3847		0.00047292
11		0.4914		0.5134		0.0000		0.4058		0.00046990
12		0.4764		0.5428		0.0000		0.4018		0.00046688
13		0.4643		0.4884		0.0000		0.4121		0.00046385
14		0.4553		0.5024		0.0000		0.3998		0.00046083
15		0.4449		0.4650		0.0000		0.4440		0.00045780
16		0.4336		0.5002		0.0000		0.4278		0.00045477
17		0.4220		0.5057		0.0000		0.4205		0.00045173
18		0.4145		0.5384		0.0000		0.4245		0.00044870
19		0.4059		0.4854		0.0000		0.4485		0.00044566
20		0.3974		0.4487		0.0000		0.4664		0.00044262
21		0.3964		0.4736		0.0000		0.4409		0.00043958
22		0.3814		0.4152		0.0000		0.4798		0.00043653
23		0.3747		0.4182		0.0000		0.4854		0.00043349
24		0.3774		0.4628		0.0000		0.4650		0.00043044
25		0.3684		0.4137		0.0000		0.4982		0.00042739
26		0.3659		0.4348		0.0000		0.4932		0.00042433
27		0.3550		0.4417		0.0000		0.4794		0.00042128
28		0.3538		0.4256		0.0000		0.4886		0.00041822
29		0.3469		0.4109		0.0000		0.4961		0.00041516
30		0.3408		0.4091		0.0000		0.5116		0.00041209
31		0.3469		0.3944		0.0000		0.5033		0.00040903
32		0.3457		0.3959		0.0000		0.5285		0.00040596
33		0.3314		0.3795		0.0000		0.5406		0.00040289
34		0.3253		0.4115		0.0000		0.5194		0.00039981
35		0.3258		0.4035		0.0000		0.5293		0.00039673
36		0.3162		0.3989		0.0000		0.5207		0.00039366
37		0.3273		0.3847		0.0000		0.5384		0.00039057
38		0.3137		0.3682		0.0000		0.5604		0.00038749
39		0.3094		0.3928		0.0000		0.5451		0.00038440
40		0.3137		0.4099		0.0000		0.5199		0.00038131
41		0.3057		0.3731		0.0000		0.5511		0.00037822
42		0.3046		0.3775		0.0000		0.5427		0.00037512
43		0.3071		0.3838		0.0000		0.5460		0.00037202
44		0.2991		0.3640		0.0000		0.5600		0.00036892
45		0.2984		0.3748		0.0000		0.5453		0.00036582
46		0.2925		0.3506		0.0000		0.5804		0.00036271
47		0.2955		0.3780		0.0000		0.5548		0.00035960
48		0.2962		0.3663		0.0000		0.5631		0.00035649
49		0.2881		0.3463		0.0000		0.5749		0.00035337
50		0.2876		0.3395		0.0000		0.5885		0.00035025
51		0.2752		0.3526		0.0000		0.5851		0.00034713
52		0.2879		0.3496		0.0000		0.5997		0.00034400
53		0.2758		0.3487		0.0000		0.5982		0.00034087
54		0.2823		0.3733		0.0000		0.5610		0.00033774
55		0.2733		0.3515		0.0000		0.6001		0.00033460
56		0.2782		0.3528		0.0000		0.5935		0.00033147
57		0.2672		0.3325		0.0000		0.5999		0.00032832
58		0.2740		0.3585		0.0000		0.5832		0.00032518
59		0.2719		0.3749		0.0000		0.5547		0.00032203
60		0.2650		0.3413		0.0000		0.6015		0.00031888
61		0.2638		0.3464		0.0000		0.5930		0.00031572
62		0.2663		0.3310		0.0000		0.6154		0.00031256
63		0.2633		0.3614		0.0000		0.5747		0.00030940
64		0.2540		0.3244		0.0000		0.6067		0.00030624
65		0.2541		0.3423		0.0000		0.6051		0.00030307
66		0.2630		0.3408		0.0000		0.5866		0.00029989
67		0.2535		0.3424		0.0000		0.5856		0.00029671
68		0.2512		0.3638		0.0000		0.5709		0.00029353
69		0.2525		0.3310		0.0000		0.6150		0.00029035
70		0.2443		0.3435		0.0000		0.5869		0.00028716
71		0.2489		0.3362		0.0000		0.6160		0.00028397
72		0.2513		0.3232		0.0000		0.6078		0.00028077
73		0.2453		0.3289		0.0000		0.6148		0.00027757
74		0.2374		0.3363		0.0000		0.5983		0.00027437
75		0.2371		0.3332		0.0000		0.6044		0.00027116
76		0.2422		0.3249		0.0000		0.6178		0.00026794
77		0.2402		0.3575		0.0000		0.5816		0.00026473
78		0.2356		0.3399		0.0000		0.6084		0.00026150
79		0.2359		0.3221		0.0000		0.6191		0.00025828
80		0.2338		0.3371		0.0000		0.6111		0.00025505
81		0.2329		0.3185		0.0000		0.6164		0.00025181
82		0.2341		0.3424		0.0000		0.6114		0.00024857
83		0.2258		0.3848		0.0000		0.5458		0.00024533
84		0.2331		0.3407		0.0000		0.6144		0.00024208
85		0.2259		0.3417		0.0000		0.6052		0.00023882
86		0.2283		0.3386		0.0000		0.6069		0.00023556
87		0.2204		0.3369		0.0000		0.6077		0.00023230
88		0.2269		0.3390		0.0000		0.6068		0.00022903
89		0.2243		0.3151		0.0000		0.6292		0.00022576
90		0.2169		0.3210		0.0000		0.6381		0.00022248
91		0.2180		0.3175		0.0000		0.6470		0.00021919
92		0.2170		0.3216		0.0000		0.6319		0.00021590
93		0.2153		0.3422		0.0000		0.6067		0.00021260
94		0.2213		0.3239		0.0000		0.6293		0.00020930
95		0.2131		0.3384		0.0000		0.6345		0.00020600
96		0.2103		0.3481		0.0000		0.6299		0.00020268
97		0.2164		0.3240		0.0000		0.6261		0.00019936
98		0.2152		0.3499		0.0000		0.6203		0.00019604
99		0.2094		0.3225		0.0000		0.6479		0.00019270
100		0.2075		0.3536		0.0000		0.6049		0.00018937
101		0.2070		0.3444		0.0000		0.6366		0.00018602
102		0.2060		0.3315		0.0000		0.6410		0.00018267
103		0.2047		0.3568		0.0000		0.6076		0.00017931
104		0.2078		0.3344		0.0000		0.6365		0.00017594
105		0.2044		0.3342		0.0000		0.6415		0.00017257
106		0.1984		0.3273		0.0000		0.6353		0.00016919
107		0.1981		0.3274		0.0000		0.6544		0.00016580
108		0.2010		0.3160		0.0000		0.6504		0.00016241
109		0.1965		0.3418		0.0000		0.6445		0.00015901
110		0.1928		0.3193		0.0000		0.6422		0.00015559
111		0.1903		0.3432		0.0000		0.6234		0.00015217
112		0.1993		0.3206		0.0000		0.6529		0.00014875
113		0.1889		0.3422		0.0000		0.6504		0.00014531
114		0.1957		0.3242		0.0000		0.6511		0.00014186
115		0.1906		0.3172		0.0000		0.6435		0.00013841
116		0.1861		0.3507		0.0000		0.6411		0.00013494
117		0.1863		0.3344		0.0000		0.6672		0.00013147
118		0.1883		0.3345		0.0000		0.6523		0.00012798
119		0.1906		0.3319		0.0000		0.6439		0.00012449
120		0.1852		0.3380		0.0000		0.6537		0.00012098
121		0.1826		0.3387		0.0000		0.6365		0.00011746
122		0.1816		0.3428		0.0000		0.6563		0.00011393
