Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3488		0.8413		0.0000		0.2402		0.00050000
2		0.7511		0.7415		0.0000		0.2899		0.00049700
3		0.6335		0.6291		0.0000		0.3245		0.00049400
4		0.5737		0.6205		0.0000		0.3309		0.00049099
5		0.5237		0.5925		0.0000		0.3523		0.00048798
6		0.4998		0.5641		0.0000		0.3817		0.00048497
7		0.4669		0.5099		0.0000		0.3909		0.00048196
8		0.4516		0.4894		0.0000		0.4173		0.00047895
9		0.4354		0.4741		0.0000		0.4150		0.00047593
10		0.4201		0.4550		0.0000		0.4421		0.00047292
11		0.4033		0.4571		0.0000		0.4412		0.00046990
12		0.3885		0.4034		0.0000		0.4927		0.00046688
13		0.3829		0.4422		0.0000		0.4671		0.00046385
14		0.3675		0.4112		0.0000		0.4960		0.00046083
15		0.3627		0.4514		0.0000		0.4580		0.00045780
16		0.3566		0.4243		0.0000		0.4739		0.00045477
17		0.3491		0.4004		0.0000		0.5013		0.00045173
18		0.3371		0.4748		0.0000		0.4536		0.00044870
19		0.3372		0.3787		0.0000		0.5192		0.00044566
20		0.3332		0.3877		0.0000		0.5056		0.00044262
21		0.3232		0.3740		0.0000		0.5235		0.00043958
22		0.3312		0.4146		0.0000		0.4870		0.00043653
23		0.3161		0.3685		0.0000		0.5310		0.00043349
24		0.3097		0.4158		0.0000		0.4981		0.00043044
25		0.3007		0.3896		0.0000		0.5251		0.00042739
26		0.3127		0.4081		0.0000		0.4985		0.00042433
27		0.2957		0.3558		0.0000		0.5510		0.00042128
28		0.2880		0.3523		0.0000		0.5315		0.00041822
29		0.2923		0.3210		0.0000		0.5725		0.00041516
30		0.2858		0.4423		0.0000		0.4826		0.00041209
31		0.2823		0.3143		0.0000		0.5693		0.00040903
32		0.2748		0.3696		0.0000		0.5227		0.00040596
33		0.2691		0.3160		0.0000		0.5904		0.00040289
34		0.2753		0.3397		0.0000		0.5558		0.00039981
35		0.2690		0.3554		0.0000		0.5395		0.00039673
36		0.2741		0.3271		0.0000		0.5728		0.00039366
37		0.2594		0.3117		0.0000		0.5774		0.00039057
38		0.2577		0.3370		0.0000		0.5562		0.00038749
39		0.2653		0.3027		0.0000		0.5912		0.00038440
40		0.2578		0.3397		0.0000		0.5615		0.00038131
41		0.2584		0.3102		0.0000		0.5656		0.00037822
42		0.2500		0.3063		0.0000		0.5897		0.00037512
43		0.2512		0.3091		0.0000		0.6105		0.00037202
44		0.2587		0.3258		0.0000		0.5812		0.00036892
45		0.2475		0.3134		0.0000		0.6000		0.00036582
46		0.2477		0.3051		0.0000		0.6033		0.00036271
47		0.2430		0.3081		0.0000		0.5854		0.00035960
48		0.2380		0.3111		0.0000		0.5773		0.00035649
49		0.2490		0.2966		0.0000		0.5917		0.00035337
50		0.2371		0.2956		0.0000		0.5970		0.00035025
51		0.2350		0.3002		0.0000		0.6189		0.00034713
52		0.2310		0.3110		0.0000		0.5765		0.00034400
53		0.2419		0.3146		0.0000		0.6002		0.00034087
54		0.2351		0.2912		0.0000		0.6329		0.00033774
55		0.2329		0.3092		0.0000		0.6149		0.00033460
56		0.2248		0.3163		0.0000		0.5848		0.00033147
57		0.2291		0.3029		0.0000		0.5846		0.00032832
58		0.2184		0.3086		0.0000		0.6166		0.00032518
59		0.2305		0.3181		0.0000		0.5743		0.00032203
60		0.2217		0.2954		0.0000		0.6021		0.00031888
61		0.2285		0.3081		0.0000		0.6263		0.00031572
62		0.2145		0.2990		0.0000		0.6128		0.00031256
63		0.2155		0.2966		0.0000		0.6031		0.00030940
64		0.2145		0.3100		0.0000		0.5964		0.00030624
65		0.2105		0.3131		0.0000		0.6173		0.00030307
66		0.2196		0.3005		0.0000		0.5965		0.00029989
67		0.2133		0.3047		0.0000		0.6242		0.00029671
68		0.2129		0.2996		0.0000		0.5993		0.00029353
69		0.2099		0.3082		0.0000		0.6058		0.00029035
70		0.2042		0.3099		0.0000		0.5954		0.00028716
71		0.2090		0.3124		0.0000		0.6021		0.00028397
72		0.2041		0.2697		0.0000		0.6325		0.00028077
73		0.2002		0.2970		0.0000		0.6341		0.00027757
74		0.2061		0.2984		0.0000		0.6031		0.00027437
75		0.2005		0.2879		0.0000		0.6258		0.00027116
76		0.2041		0.2856		0.0000		0.6372		0.00026794
77		0.2037		0.3073		0.0000		0.5996		0.00026473
78		0.2004		0.3004		0.0000		0.6061		0.00026150
79		0.1978		0.2885		0.0000		0.6431		0.00025828
80		0.1970		0.3566		0.0000		0.5733		0.00025505
81		0.2053		0.2945		0.0000		0.6470		0.00025181
82		0.1945		0.2876		0.0000		0.6510		0.00024857
83		0.1887		0.2861		0.0000		0.6221		0.00024533
84		0.1912		0.2812		0.0000		0.6301		0.00024208
85		0.1920		0.2882		0.0000		0.6386		0.00023882
86		0.1974		0.4221		0.0000		0.5219		0.00023556
87		0.1979		0.3005		0.0000		0.6445		0.00023230
88		0.1818		0.3077		0.0000		0.6490		0.00022903
89		0.1840		0.2740		0.0000		0.6564		0.00022576
90		0.1824		0.3212		0.0000		0.6514		0.00022248
