Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.7017		1.0801		0.0000		0.1800		0.00050000
2		0.8862		0.7854		0.0000		0.2120		0.00049700
3		0.7113		0.6695		0.0000		0.2544		0.00049400
4		0.6398		0.6436		0.0000		0.2512		0.00049099
5		0.5963		0.5989		0.0000		0.2739		0.00048798
6		0.5630		0.5741		0.0000		0.2894		0.00048497
7		0.5381		0.5452		0.0000		0.3041		0.00048196
8		0.5088		0.5158		0.0000		0.3288		0.00047895
9		0.4878		0.5540		0.0000		0.3289		0.00047593
10		0.4727		0.5267		0.0000		0.3415		0.00047292
11		0.4632		0.4851		0.0000		0.3548		0.00046990
12		0.4462		0.4842		0.0000		0.3633		0.00046688
13		0.4371		0.4739		0.0000		0.3781		0.00046385
14		0.4291		0.4572		0.0000		0.3818		0.00046083
15		0.4137		0.4251		0.0000		0.3935		0.00045780
16		0.4117		0.4424		0.0000		0.3881		0.00045477
17		0.4005		0.4241		0.0000		0.4030		0.00045173
18		0.3997		0.4508		0.0000		0.3921		0.00044870
19		0.3880		0.4327		0.0000		0.3970		0.00044566
20		0.3816		0.4006		0.0000		0.4363		0.00044262
21		0.3823		0.4004		0.0000		0.4259		0.00043958
22		0.3702		0.4398		0.0000		0.4040		0.00043653
23		0.3719		0.4102		0.0000		0.4221		0.00043349
24		0.3577		0.4015		0.0000		0.4336		0.00043044
25		0.3615		0.3936		0.0000		0.4528		0.00042739
26		0.3538		0.3987		0.0000		0.4508		0.00042433
27		0.3469		0.4182		0.0000		0.4435		0.00042128
28		0.3374		0.3972		0.0000		0.4528		0.00041822
29		0.3439		0.4071		0.0000		0.4508		0.00041516
30		0.3337		0.3816		0.0000		0.4666		0.00041209
31		0.3325		0.3816		0.0000		0.4720		0.00040903
32		0.3355		0.3822		0.0000		0.4696		0.00040596
33		0.3293		0.3897		0.0000		0.4593		0.00040289
34		0.3211		0.3853		0.0000		0.4854		0.00039981
35		0.3141		0.3739		0.0000		0.5056		0.00039673
36		0.3159		0.3520		0.0000		0.5033		0.00039366
37		0.3169		0.4110		0.0000		0.4738		0.00039057
38		0.3060		0.3665		0.0000		0.4982		0.00038749
39		0.3062		0.3611		0.0000		0.5160		0.00038440
40		0.3029		0.3723		0.0000		0.5200		0.00038131
41		0.3008		0.3995		0.0000		0.4824		0.00037822
42		0.3028		0.3677		0.0000		0.5175		0.00037512
43		0.2963		0.3648		0.0000		0.5020		0.00037202
44		0.2979		0.3539		0.0000		0.5205		0.00036892
45		0.2918		0.3712		0.0000		0.5315		0.00036582
46		0.2925		0.3725		0.0000		0.4984		0.00036271
47		0.2899		0.3600		0.0000		0.5242		0.00035960
48		0.2856		0.3635		0.0000		0.5088		0.00035649
49		0.2794		0.3631		0.0000		0.5530		0.00035337
50		0.2847		0.3674		0.0000		0.5126		0.00035025
51		0.2732		0.3751		0.0000		0.5162		0.00034713
52		0.2841		0.3664		0.0000		0.5323		0.00034400
53		0.2748		0.3558		0.0000		0.5467		0.00034087
54		0.2726		0.3781		0.0000		0.5392		0.00033774
55		0.2697		0.3544		0.0000		0.5439		0.00033460
56		0.2731		0.3563		0.0000		0.5182		0.00033147
57		0.2645		0.3856		0.0000		0.5334		0.00032832
58		0.2698		0.3429		0.0000		0.5716		0.00032518
59		0.2603		0.3786		0.0000		0.5396		0.00032203
60		0.2645		0.3645		0.0000		0.5565		0.00031888
61		0.2537		0.3630		0.0000		0.5488		0.00031572
62		0.2568		0.3787		0.0000		0.5650		0.00031256
63		0.2601		0.3748		0.0000		0.5417		0.00030940
64		0.2609		0.3890		0.0000		0.5445		0.00030624
65		0.2626		0.3904		0.0000		0.5453		0.00030307
66		0.2513		0.3697		0.0000		0.5458		0.00029989
67		0.2491		0.3687		0.0000		0.5630		0.00029671
68		0.2476		0.3694		0.0000		0.5626		0.00029353
69		0.2425		0.3519		0.0000		0.5701		0.00029035
70		0.2447		0.3892		0.0000		0.5489		0.00028716
71		0.2550		0.3749		0.0000		0.5671		0.00028397
72		0.2418		0.4212		0.0000		0.5281		0.00028077
73		0.2524		0.3557		0.0000		0.5777		0.00027757
74		0.2408		0.3429		0.0000		0.5870		0.00027437
75		0.2341		0.3642		0.0000		0.5691		0.00027116
76		0.2348		0.3767		0.0000		0.5671		0.00026794
77		0.2344		0.3648		0.0000		0.5635		0.00026473
78		0.2323		0.3679		0.0000		0.5741		0.00026150
79		0.2332		0.3593		0.0000		0.5656		0.00025828
80		0.2337		0.3743		0.0000		0.5663		0.00025505
81		0.2378		0.3639		0.0000		0.5719		0.00025181
82		0.2279		0.3593		0.0000		0.5914		0.00024857
83		0.2242		0.3724		0.0000		0.5846		0.00024533
84		0.2291		0.3725		0.0000		0.5882		0.00024208
85		0.2368		0.3372		0.0000		0.5883		0.00023882
86		0.2251		0.3595		0.0000		0.5966		0.00023556
87		0.2164		0.3348		0.0000		0.6026		0.00023230
88		0.2141		0.3419		0.0000		0.6217		0.00022903
89		0.2193		0.3442		0.0000		0.6020		0.00022576
90		0.2164		0.3520		0.0000		0.5876		0.00022248
91		0.2136		0.3641		0.0000		0.5888		0.00021919
92		0.2240		0.3371		0.0000		0.6030		0.00021590
93		0.2134		0.3617		0.0000		0.5851		0.00021260
94		0.2179		0.3468		0.0000		0.6046		0.00020930
95		0.2078		0.3582		0.0000		0.6092		0.00020600
96		0.2128		0.3512		0.0000		0.6060		0.00020268
97		0.2084		0.3653		0.0000		0.5973		0.00019936
98		0.2105		0.3750		0.0000		0.6088		0.00019604
99		0.2071		0.3729		0.0000		0.6064		0.00019270
100		0.2011		0.3802		0.0000		0.6084		0.00018937
101		0.2018		0.3695		0.0000		0.6036		0.00018602
102		0.1994		0.3572		0.0000		0.6298		0.00018267
103		0.2002		0.3648		0.0000		0.6043		0.00017931
104		0.2057		0.3689		0.0000		0.6048		0.00017594
105		0.1996		0.3526		0.0000		0.6125		0.00017257
106		0.2001		0.3468		0.0000		0.6308		0.00016919
107		0.1990		0.3772		0.0000		0.5943		0.00016580
108		0.2014		0.3615		0.0000		0.6028		0.00016241
109		0.1908		0.3598		0.0000		0.6253		0.00015901
110		0.1916		0.3567		0.0000		0.6108		0.00015559
111		0.1894		0.3498		0.0000		0.6159		0.00015217
112		0.1910		0.3621		0.0000		0.6153		0.00014875
113		0.1882		0.3633		0.0000		0.6299		0.00014531
114		0.1917		0.3425		0.0000		0.6196		0.00014186
115		0.1847		0.3502		0.0000		0.6357		0.00013841
116		0.1836		0.3671		0.0000		0.6199		0.00013494
117		0.1859		0.3745		0.0000		0.6159		0.00013147
118		0.1863		0.3630		0.0000		0.6243		0.00012798
119		0.1849		0.3688		0.0000		0.6228		0.00012449
120		0.1905		0.3538		0.0000		0.6278		0.00012098
121		0.1787		0.3653		0.0000		0.6171		0.00011746
122		0.1794		0.3574		0.0000		0.6274		0.00011393
123		0.1773		0.3497		0.0000		0.6494		0.00011039
124		0.1791		0.3551		0.0000		0.6070		0.00010684
125		0.1774		0.3401		0.0000		0.6329		0.00010327
126		0.1778		0.3622		0.0000		0.6217		0.00009969
127		0.1754		0.3646		0.0000		0.6192		0.00009609
128		0.1723		0.3465		0.0000		0.6390		0.00009248
129		0.1705		0.3587		0.0000		0.6246		0.00008885
130		0.1711		0.3466		0.0000		0.6510		0.00008521
131		0.1717		0.3550		0.0000		0.6371		0.00008155
132		0.1705		0.3511		0.0000		0.6489		0.00007787
133		0.1668		0.3598		0.0000		0.6356		0.00007417
134		0.1667		0.3543		0.0000		0.6489		0.00007045
135		0.1661		0.3493		0.0000		0.6466		0.00006671
136		0.1646		0.3588		0.0000		0.6449		0.00006295
137		0.1648		0.3511		0.0000		0.6513		0.00005916
138		0.1632		0.3521		0.0000		0.6413		0.00005534
139		0.1626		0.3528		0.0000		0.6425		0.00005149
140		0.1611		0.3502		0.0000		0.6541		0.00004761
141		0.1608		0.3488		0.0000		0.6616		0.00004370
142		0.1602		0.3540		0.0000		0.6505		0.00003975
143		0.1594		0.3626		0.0000		0.6540		0.00003575
144		0.1577		0.3644		0.0000		0.6495		0.00003170
145		0.1582		0.3629		0.0000		0.6543		0.00002759
146		0.1571		0.3529		0.0000		0.6545		0.00002342
147		0.1556		0.3543		0.0000		0.6542		0.00001916
148		0.1550		0.3565		0.0000		0.6553		0.00001479
149		0.1546		0.3541		0.0000		0.6570		0.00001027
150		0.1537		0.3551		0.0000		0.6573		0.00000550
