Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3135		0.8345		0.0000		0.2218		0.00050000
2		0.7123		0.7465		0.0000		0.2741		0.00049700
3		0.6001		0.6222		0.0000		0.3038		0.00049400
4		0.5373		0.5629		0.0000		0.3502		0.00049099
5		0.4992		0.5593		0.0000		0.3616		0.00048798
6		0.4667		0.4972		0.0000		0.3745		0.00048497
7		0.4468		0.4965		0.0000		0.3872		0.00048196
8		0.4330		0.4722		0.0000		0.3981		0.00047895
9		0.4157		0.4423		0.0000		0.4253		0.00047593
10		0.4058		0.4845		0.0000		0.4077		0.00047292
11		0.3951		0.4179		0.0000		0.4431		0.00046990
12		0.3838		0.4302		0.0000		0.4313		0.00046688
13		0.3730		0.4501		0.0000		0.4423		0.00046385
14		0.3699		0.4138		0.0000		0.4572		0.00046083
15		0.3577		0.3932		0.0000		0.4602		0.00045780
16		0.3511		0.4279		0.0000		0.4648		0.00045477
17		0.3471		0.3877		0.0000		0.4981		0.00045173
18		0.3384		0.4204		0.0000		0.4590		0.00044870
19		0.3347		0.3936		0.0000		0.4901		0.00044566
20		0.3318		0.3613		0.0000		0.5089		0.00044262
21		0.3236		0.3845		0.0000		0.4952		0.00043958
22		0.3226		0.3979		0.0000		0.4699		0.00043653
23		0.3216		0.3564		0.0000		0.5259		0.00043349
24		0.3084		0.3471		0.0000		0.5291		0.00043044
25		0.3073		0.3531		0.0000		0.5082		0.00042739
26		0.3067		0.3446		0.0000		0.5284		0.00042433
27		0.3031		0.3487		0.0000		0.5484		0.00042128
28		0.3014		0.3545		0.0000		0.5350		0.00041822
29		0.2905		0.3445		0.0000		0.5453		0.00041516
30		0.2931		0.3508		0.0000		0.5160		0.00041209
31		0.2899		0.3437		0.0000		0.5351		0.00040903
32		0.2883		0.3459		0.0000		0.5411		0.00040596
33		0.2811		0.3329		0.0000		0.5485		0.00040289
34		0.2826		0.3460		0.0000		0.5116		0.00039981
35		0.2772		0.3465		0.0000		0.5437		0.00039673
36		0.2745		0.3232		0.0000		0.5529		0.00039366
37		0.2720		0.3297		0.0000		0.5402		0.00039057
38		0.2679		0.3247		0.0000		0.5729		0.00038749
