Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.8586		1.4541		0.0000		0.2103		0.00050000
2		1.3121		1.3227		0.0000		0.2267		0.00049700
3		1.1717		1.1820		0.0000		0.2616		0.00049400
4		1.0848		1.0771		0.0000		0.2809		0.00049099
5		1.0280		0.9893		0.0000		0.3003		0.00048798
6		0.9648		0.9357		0.0000		0.3239		0.00048497
7		0.9150		0.9156		0.0000		0.3472		0.00048196
8		0.8732		0.8820		0.0000		0.3501		0.00047895
9		0.8216		0.8421		0.0000		0.3586		0.00047593
10		0.8064		0.8616		0.0000		0.3456		0.00047292
11		0.7702		0.8128		0.0000		0.3674		0.00046990
12		0.7436		0.7896		0.0000		0.3795		0.00046688
13		0.7305		0.8168		0.0000		0.3670		0.00046385
14		0.7118		0.7565		0.0000		0.3871		0.00046083
15		0.6890		0.7248		0.0000		0.4036		0.00045780
16		0.6722		0.7218		0.0000		0.4087		0.00045477
17		0.6498		0.7303		0.0000		0.4090		0.00045173
18		0.6416		0.7018		0.0000		0.4136		0.00044870
19		0.6269		0.7153		0.0000		0.4098		0.00044566
20		0.6256		0.7431		0.0000		0.4003		0.00044262
21		0.6045		0.6525		0.0000		0.4372		0.00043958
22		0.5934		0.6627		0.0000		0.4331		0.00043653
23		0.5809		0.6674		0.0000		0.4394		0.00043349
24		0.5817		0.6550		0.0000		0.4425		0.00043044
25		0.5707		0.6597		0.0000		0.4347		0.00042739
26		0.5645		0.6596		0.0000		0.4374		0.00042433
27		0.5554		0.6997		0.0000		0.4426		0.00042128
28		0.5521		0.6274		0.0000		0.4668		0.00041822
29		0.5283		0.6235		0.0000		0.4384		0.00041516
30		0.5345		0.6191		0.0000		0.4676		0.00041209
31		0.5211		0.6426		0.0000		0.4602		0.00040903
32		0.5202		0.6248		0.0000		0.4680		0.00040596
33		0.5127		0.6061		0.0000		0.4744		0.00040289
34		0.4998		0.6080		0.0000		0.4788		0.00039981
35		0.4925		0.5945		0.0000		0.4786		0.00039673
36		0.4999		0.5946		0.0000		0.4996		0.00039366
37		0.4866		0.5773		0.0000		0.4975		0.00039057
38		0.4806		0.5965		0.0000		0.4823		0.00038749
39		0.4854		0.5749		0.0000		0.5071		0.00038440
40		0.4769		0.5600		0.0000		0.4963		0.00038131
41		0.4688		0.5949		0.0000		0.4997		0.00037822
42		0.4597		0.5615		0.0000		0.4989		0.00037512
43		0.4630		0.5647		0.0000		0.5097		0.00037202
44		0.4548		0.6959		0.0000		0.4631		0.00036892
45		0.4511		0.5841		0.0000		0.4894		0.00036582
