Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.5208		1.1556		0.0000		0.1788		0.00050000
2		0.9205		0.8991		0.0000		0.2414		0.00049700
3		0.7920		0.8534		0.0000		0.2493		0.00049400
4		0.7192		0.7184		0.0000		0.2783		0.00049099
5		0.6539		0.7045		0.0000		0.2994		0.00048798
6		0.6033		0.6312		0.0000		0.3254		0.00048497
7		0.5656		0.5895		0.0000		0.3399		0.00048196
8		0.5352		0.5752		0.0000		0.3546		0.00047895
9		0.5054		0.5445		0.0000		0.3821		0.00047593
10		0.4910		0.6172		0.0000		0.3490		0.00047292
11		0.4735		0.5132		0.0000		0.3892		0.00046990
12		0.4546		0.4877		0.0000		0.4076		0.00046688
13		0.4427		0.4942		0.0000		0.4122		0.00046385
14		0.4285		0.4956		0.0000		0.4171		0.00046083
15		0.4216		0.4655		0.0000		0.4348		0.00045780
16		0.4043		0.4633		0.0000		0.4346		0.00045477
17		0.3880		0.4364		0.0000		0.4439		0.00045173
18		0.3975		0.4452		0.0000		0.4428		0.00044870
19		0.3780		0.4420		0.0000		0.4489		0.00044566
20		0.3864		0.4719		0.0000		0.4331		0.00044262
21		0.3683		0.4248		0.0000		0.4617		0.00043958
22		0.3525		0.4093		0.0000		0.4769		0.00043653
23		0.3551		0.5312		0.0000		0.4280		0.00043349
24		0.3440		0.4087		0.0000		0.4904		0.00043044
25		0.3386		0.4356		0.0000		0.4776		0.00042739
26		0.3438		0.3955		0.0000		0.5105		0.00042433
27		0.3294		0.5166		0.0000		0.4570		0.00042128
28		0.3307		0.3825		0.0000		0.5170		0.00041822
29		0.3182		0.4744		0.0000		0.4705		0.00041516
30		0.3173		0.3737		0.0000		0.5184		0.00041209
31		0.3106		0.3583		0.0000		0.5341		0.00040903
32		0.3019		0.3563		0.0000		0.5218		0.00040596
33		0.3178		0.3658		0.0000		0.5310		0.00040289
34		0.2976		0.3601		0.0000		0.5454		0.00039981
