Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.7354		0.8336		0.0000		0.2605		0.00050000
2		0.5667		0.6096		0.0000		0.3282		0.00048497
3		0.5297		0.5351		0.0000		0.3589		0.00046990
4		0.4977		0.4988		0.0000		0.4012		0.00045477
5		0.4731		0.5112		0.0000		0.3818		0.00043958
6		0.4660		0.4924		0.0000		0.4018		0.00042433
7		0.4356		0.4775		0.0000		0.4141		0.00040903
8		0.4296		0.4808		0.0000		0.4192		0.00039366
9		0.4059		0.5525		0.0000		0.3886		0.00037822
10		0.4084		0.4594		0.0000		0.4140		0.00036271
11		0.3887		0.4781		0.0000		0.4349		0.00034713
12		0.3805		0.4625		0.0000		0.4325		0.00033147
13		0.3582		0.4809		0.0000		0.4563		0.00031572
14		0.3506		0.4926		0.0000		0.4575		0.00029989
15		0.3399		0.5332		0.0000		0.4820		0.00028397
16		0.3372		0.4426		0.0000		0.4785		0.00026794
17		0.3255		0.4606		0.0000		0.4781		0.00025181
18		0.3079		0.4941		0.0000		0.4445		0.00023556
19		0.3081		0.4803		0.0000		0.4788		0.00021919
20		0.2925		0.4742		0.0000		0.4783		0.00020268
21		0.2777		0.4591		0.0000		0.5007		0.00018602
22		0.2701		0.4843		0.0000		0.4864		0.00016919
23		0.2603		0.5105		0.0000		0.5118		0.00015217
24		0.2501		0.5030		0.0000		0.5229		0.00013494
25		0.2399		0.5174		0.0000		0.5193		0.00011746
26		0.2378		0.4958		0.0000		0.5363		0.00009969
29		0.2155		0.4875		0.0000		0.5309		0.00004370
30		0.2074		0.4986		0.0000		0.5384		0.00002342
