Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.7444		0.7000		0.0000		0.2751		0.00050000
2		0.5721		0.5735		0.0000		0.3452		0.00048497
3		0.5249		0.5109		0.0000		0.3745		0.00046990
4		0.4902		0.5041		0.0000		0.4012		0.00045477
5		0.4741		0.5513		0.0000		0.3426		0.00043958
6		0.4558		0.5092		0.0000		0.3803		0.00042433
7		0.4348		0.4768		0.0000		0.4194		0.00040903
8		0.4241		0.4892		0.0000		0.3844		0.00039366
9		0.4190		0.4797		0.0000		0.4263		0.00037822
10		0.3997		0.4598		0.0000		0.4641		0.00036271
11		0.3870		0.4666		0.0000		0.4620		0.00034713
12		0.3714		0.4910		0.0000		0.4045		0.00033147
13		0.3660		0.4741		0.0000		0.4463		0.00031572
14		0.3521		0.5057		0.0000		0.4530		0.00029989
15		0.3439		0.4774		0.0000		0.4567		0.00028397
16		0.3275		0.4903		0.0000		0.4719		0.00026794
17		0.3268		0.4723		0.0000		0.4894		0.00025181
18		0.3089		0.5485		0.0000		0.4420		0.00023556
19		0.2998		0.4971		0.0000		0.4692		0.00021919
20		0.2910		0.4899		0.0000		0.4935		0.00020268
21		0.2851		0.4487		0.0000		0.5118		0.00018602
22		0.2723		0.4781		0.0000		0.5055		0.00016919
23		0.2809		0.4909		0.0000		0.5057		0.00015217
24		0.2510		0.5045		0.0000		0.5204		0.00013494
25		0.2402		0.5149		0.0000		0.5209		0.00011746
26		0.2338		0.5171		0.0000		0.5290		0.00009969
27		0.2283		0.5940		0.0000		0.5378		0.00008155
28		0.2190		0.5608		0.0000		0.5407		0.00006295
29		0.2138		0.5297		0.0000		0.5433		0.00004370
30		0.2095		0.5401		0.0000		0.5421		0.00002342
