Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.5847		1.2247		0.0000		0.1421		0.00050000
2		1.0461		0.9761		0.0000		0.2045		0.00048497
3		0.9118		0.8503		0.0000		0.2354		0.00046990
4		0.8491		0.8838		0.0000		0.2351		0.00045477
5		0.7995		0.7745		0.0000		0.2570		0.00043958
6		0.7666		0.8163		0.0000		0.2523		0.00042433
7		0.7417		0.7112		0.0000		0.2728		0.00040903
8		0.7153		0.7088		0.0000		0.2855		0.00039366
9		0.6981		0.6988		0.0000		0.2875		0.00037822
10		0.6739		0.7101		0.0000		0.2830		0.00036271
11		0.6590		0.6717		0.0000		0.2945		0.00034713
12		0.6475		0.6677		0.0000		0.3045		0.00033147
13		0.6323		0.6618		0.0000		0.3039		0.00031572
14		0.6182		0.6316		0.0000		0.3154		0.00029989
15		0.6103		0.6347		0.0000		0.3127		0.00028397
16		0.5916		0.6503		0.0000		0.3174		0.00026794
17		0.5845		0.6188		0.0000		0.3349		0.00025181
18		0.5779		0.6237		0.0000		0.3344		0.00023556
19		0.5672		0.6359		0.0000		0.3426		0.00021919
20		0.5587		0.6073		0.0000		0.3493		0.00020268
21		0.5495		0.5940		0.0000		0.3581		0.00018602
22		0.5430		0.5882		0.0000		0.3625		0.00016919
23		0.5389		0.5886		0.0000		0.3587		0.00015217
27		0.5131		0.6063		0.0000		0.3782		0.00008155
28		0.5066		0.5776		0.0000		0.3802		0.00006295
29		0.5041		0.5822		0.0000		0.3827		0.00004370
30		0.4990		0.5952		0.0000		0.3821		0.00002342
