Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.5307		1.1175		0.0000		0.1843		0.00050000
2		0.9834		0.8878		0.0000		0.2254		0.00048497
3		0.8772		0.8483		0.0000		0.2503		0.00046990
4		0.8182		0.8171		0.0000		0.2451		0.00045477
5		0.7827		0.7762		0.0000		0.2701		0.00043958
6		0.7496		0.7424		0.0000		0.2782		0.00042433
7		0.7220		0.7169		0.0000		0.2779		0.00040903
8		0.7016		0.6918		0.0000		0.2866		0.00039366
9		0.6839		0.6931		0.0000		0.2923		0.00037822
10		0.6643		0.6806		0.0000		0.2921		0.00036271
11		0.6502		0.6666		0.0000		0.2873		0.00034713
12		0.6359		0.6358		0.0000		0.3012		0.00033147
13		0.6227		0.6329		0.0000		0.3066		0.00031572
14		0.6097		0.6406		0.0000		0.3116		0.00029989
15		0.6034		0.6398		0.0000		0.3082		0.00028397
16		0.5901		0.6244		0.0000		0.3177		0.00026794
17		0.5794		0.6200		0.0000		0.3209		0.00025181
18		0.5718		0.6036		0.0000		0.3314		0.00023556
19		0.5654		0.5887		0.0000		0.3373		0.00021919
20		0.5578		0.5893		0.0000		0.3413		0.00020268
21		0.5473		0.5887		0.0000		0.3524		0.00018602
22		0.5400		0.5882		0.0000		0.3576		0.00016919
23		0.5357		0.5856		0.0000		0.3582		0.00015217
24		0.5274		0.5753		0.0000		0.3711		0.00013494
25		0.5191		0.5847		0.0000		0.3709		0.00011746
26		0.5111		0.5935		0.0000		0.3774		0.00009969
27		0.5130		0.5868		0.0000		0.3795		0.00008155
28		0.5022		0.5687		0.0000		0.3822		0.00006295
29		0.4976		0.5739		0.0000		0.3827		0.00004370
30		0.4936		0.5746		0.0000		0.3817		0.00002342
