Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9833		0.7785		0.0000		0.1973		0.00050000
2		0.7323		0.6805		0.0000		0.2375		0.00048497
3		0.6408		0.8351		0.0000		0.2585		0.00046990
4		0.5954		0.5802		0.0000		0.2875		0.00045477
5		0.5556		0.6332		0.0000		0.3381		0.00043958
6		0.5289		0.5520		0.0000		0.3474		0.00042433
7		0.5100		0.5563		0.0000		0.3444		0.00040903
8		0.4880		0.5054		0.0000		0.3872		0.00039366
9		0.4820		0.5252		0.0000		0.3771		0.00037822
10		0.4671		0.5185		0.0000		0.3723		0.00036271
11		0.4499		0.5126		0.0000		0.4029		0.00034713
12		0.4443		0.4640		0.0000		0.4037		0.00033147
13		0.4259		0.4886		0.0000		0.4372		0.00031572
14		0.4187		0.4663		0.0000		0.4253		0.00029989
15		0.4105		0.4524		0.0000		0.4226		0.00028397
16		0.4022		0.4752		0.0000		0.4357		0.00026794
17		0.3911		0.4504		0.0000		0.4569		0.00025181
18		0.3829		0.4596		0.0000		0.4612		0.00023556
19		0.3755		0.4523		0.0000		0.4477		0.00021919
20		0.3667		0.4492		0.0000		0.4667		0.00020268
21		0.3653		0.4494		0.0000		0.4696		0.00018602
22		0.3507		0.4711		0.0000		0.4717		0.00016919
23		0.3435		0.4111		0.0000		0.4892		0.00015217
24		0.3317		0.4264		0.0000		0.4919		0.00013494
25		0.3247		0.4604		0.0000		0.5071		0.00011746
26		0.3141		0.4647		0.0000		0.5125		0.00009969
27		0.3084		0.4432		0.0000		0.4922		0.00008155
28		0.3025		0.4402		0.0000		0.5087		0.00006295
29		0.2920		0.4436		0.0000		0.5246		0.00004370
30		0.2856		0.4560		0.0000		0.5314		0.00002342
