Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.0916		0.6780		0.0000		0.1646		0.00050000
2		0.6042		0.6022		0.0000		0.2259		0.00048497
3		0.5574		0.5381		0.0000		0.2399		0.00046990
4		0.5127		0.5904		0.0000		0.2458		0.00045477
5		0.4787		0.4722		0.0000		0.2839		0.00043958
6		0.4540		0.5692		0.0000		0.2903		0.00042433
7		0.4462		0.4907		0.0000		0.3397		0.00040903
8		0.4241		0.4733		0.0000		0.3673		0.00039366
9		0.4254		0.4619		0.0000		0.3675		0.00037822
10		0.3993		0.4325		0.0000		0.3986		0.00036271
11		0.3951		0.4720		0.0000		0.3691		0.00034713
12		0.3819		0.4509		0.0000		0.4272		0.00033147
13		0.3685		0.4217		0.0000		0.4044		0.00031572
14		0.3616		0.4398		0.0000		0.4043		0.00029989
15		0.3545		0.4356		0.0000		0.4232		0.00028397
16		0.3434		0.4444		0.0000		0.4488		0.00026794
17		0.3312		0.4060		0.0000		0.4565		0.00025181
18		0.3292		0.4226		0.0000		0.4705		0.00023556
19		0.3138		0.4175		0.0000		0.4608		0.00021919
20		0.3069		0.4158		0.0000		0.4515		0.00020268
21		0.3210		0.4272		0.0000		0.4606		0.00018602
22		0.2970		0.4258		0.0000		0.4882		0.00016919
23		0.2910		0.4408		0.0000		0.4945		0.00015217
24		0.2829		0.4286		0.0000		0.4937		0.00013494
25		0.2768		0.4776		0.0000		0.5057		0.00011746
26		0.2672		0.4599		0.0000		0.5237		0.00009969
27		0.2607		0.4621		0.0000		0.5101		0.00008155
28		0.2545		0.4704		0.0000		0.5394		0.00006295
29		0.2482		0.4251		0.0000		0.5219		0.00004370
30		0.2448		0.4589		0.0000		0.5405		0.00002342
