Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9995		0.7896		0.0000		0.1995		0.00050000
2		0.7327		0.7310		0.0000		0.2556		0.00048497
3		0.6454		0.6899		0.0000		0.2941		0.00046990
4		0.5930		0.6249		0.0000		0.2803		0.00045477
5		0.5593		0.5721		0.0000		0.3326		0.00043958
6		0.5367		0.6081		0.0000		0.3297		0.00042433
7		0.5121		0.5421		0.0000		0.3572		0.00040903
8		0.4929		0.5486		0.0000		0.3356		0.00039366
9		0.4758		0.5153		0.0000		0.3803		0.00037822
10		0.4672		0.5480		0.0000		0.3572		0.00036271
11		0.4530		0.4975		0.0000		0.4113		0.00034713
12		0.4398		0.4700		0.0000		0.4016		0.00033147
13		0.4295		0.4653		0.0000		0.4244		0.00031572
14		0.4148		0.4806		0.0000		0.4245		0.00029989
15		0.4068		0.4460		0.0000		0.4284		0.00028397
16		0.3967		0.4319		0.0000		0.4492		0.00026794
17		0.3886		0.4628		0.0000		0.4411		0.00025181
18		0.3808		0.4278		0.0000		0.4440		0.00023556
19		0.3686		0.4251		0.0000		0.4710		0.00021919
20		0.3625		0.4131		0.0000		0.4583		0.00020268
21		0.3520		0.4128		0.0000		0.4864		0.00018602
22		0.3465		0.4038		0.0000		0.4873		0.00016919
23		0.3411		0.4414		0.0000		0.5006		0.00015217
24		0.3241		0.4180		0.0000		0.4872		0.00013494
25		0.3177		0.4352		0.0000		0.5054		0.00011746
26		0.3128		0.4335		0.0000		0.5131		0.00009969
27		0.3001		0.4251		0.0000		0.5279		0.00008155
28		0.2944		0.4179		0.0000		0.5295		0.00006295
29		0.2879		0.4424		0.0000		0.5336		0.00004370
30		0.2831		0.4211		0.0000		0.5374		0.00002342
