Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.0498		0.6665		0.0000		0.2017		0.00050000
2		0.5950		0.5445		0.0000		0.2438		0.00048497
3		0.5435		0.5137		0.0000		0.2540		0.00046990
4		0.5045		0.5430		0.0000		0.2614		0.00045477
5		0.4841		0.4789		0.0000		0.2855		0.00043958
6		0.4505		0.4763		0.0000		0.3159		0.00042433
7		0.4445		0.4680		0.0000		0.3293		0.00040903
8		0.4285		0.4634		0.0000		0.3772		0.00039366
9		0.4080		0.4294		0.0000		0.3921		0.00037822
10		0.3991		0.4301		0.0000		0.3864		0.00036271
11		0.3928		0.4870		0.0000		0.3655		0.00034713
12		0.3765		0.4615		0.0000		0.4013		0.00033147
13		0.3718		0.4307		0.0000		0.4038		0.00031572
14		0.3579		0.4789		0.0000		0.4097		0.00029989
15		0.3515		0.4111		0.0000		0.4278		0.00028397
16		0.3487		0.4544		0.0000		0.4122		0.00026794
17		0.3479		0.4484		0.0000		0.4107		0.00025181
18		0.3250		0.4028		0.0000		0.4547		0.00023556
19		0.3205		0.4655		0.0000		0.4577		0.00021919
20		0.3112		0.4240		0.0000		0.4574		0.00020268
21		0.3099		0.4469		0.0000		0.4769		0.00018602
22		0.3016		0.4511		0.0000		0.4667		0.00016919
23		0.2883		0.4245		0.0000		0.5074		0.00015217
24		0.2868		0.4553		0.0000		0.4853		0.00013494
25		0.2773		0.4559		0.0000		0.4972		0.00011746
26		0.2695		0.4517		0.0000		0.5014		0.00009969
27		0.2617		0.4480		0.0000		0.5230		0.00008155
28		0.2562		0.4368		0.0000		0.5230		0.00006295
29		0.2517		0.4674		0.0000		0.5274		0.00004370
30		0.2458		0.4563		0.0000		0.5261		0.00002342
